id;ma_kich_ban;ma_thiet_bi;loai_thiet_bi;day_chuyen;ma_san_pham;version_san_pham;ngay_tao;time_update;update_by;trang_thai
1;concept AGP Mountains;real-time Summit Spring;vortals transmitting;Squares Analyst foreground;Licensed;ubiquitous;2023-09-07T02:45:25;2023-09-06T19:29:35;Montana;Cambridgeshire well-modulated Hawaii
2;Litas Pennsylvania;Shoes transmit;parse Clothing;secondary Planner;reinvent radical synthesizing;Self-enabling Account;2023-09-07T04:38:59;2023-09-07T04:20:16;Chair implementation FTP;Falls
3;Analyst tan blue;Trail;purple Dynamic core;Electronics magnetic Configuration;Analyst Account implementation;array Missouri intranet;2023-09-06T15:03:26;2023-09-07T00:26:48;parsing challenge;Automotive Gloves Dynamic
4;Assurance;Optimization withdrawal firewall;Games Turnpike;Isle Industrial;Loan;Security Towels white;2023-09-06T21:09:22;2023-09-07T04:51:35;Awesome;Zloty
5;Centers Integrated;Georgia;ROI Cambridgeshire Account;optical connecting;synergistic recontextualize Ecuador;cross-platform Division;2023-09-07T10:22:35;2023-09-06T11:38:07;circuit GB;Regional
6;Fresh;Wooden Ball Vermont;circuit Algerian;Wooden needs-based intangible;Rustic Bedfordshire driver;ADP neural Branding;2023-09-06T12:43:36;2023-09-06T21:51:09;dedicated Administrator Car;Fantastic bus global
7;Supervisor index SSL;impactful;Hryvnia Generic yellow;Buckinghamshire Games Illinois;connect;Computers Bangladesh;2023-09-06T22:54:34;2023-09-06T22:48:13;Pizza Accountability Soft;Croatian
8;Granite Incredible Accounts;withdrawal Soft;bluetooth Hat;Configuration Legacy;user-centric indexing tangible;Product bus;2023-09-06T18:12:42;2023-09-07T03:59:22;Bedfordshire;index
9;program Buckinghamshire Profound;state scalable;Park Handcrafted Shirt;Dollar;optical one-to-one Mississippi;Peso;2023-09-07T10:01:27;2023-09-06T18:46:54;capacitor Bacon;revolutionize calculate solutions
10;Savings e-commerce;Industrial;open-source;deposit;JBOD;digital solution;2023-09-07T07:27:18;2023-09-07T07:40:37;GB;Mexico
