id;ma_thiet_bi;loai_thiet_bi;day_chuyen;ngay_tao;time_update;update_by;status
1;Intranet relationships Savings;Accountability extend Small;Dynamic connecting didactic;2023-09-06T18:33:59;2023-09-07T04:06:54;workforce;Frozen reintermediate
2;payment Accounts;Ohio;applications Handcrafted application;2023-09-06T10:43:27;2023-09-06T21:20:11;Buckinghamshire capacity;Liaison back
3;Supervisor;payment Pizza;Awesome;2023-09-07T05:21:46;2023-09-06T17:45:12;Station;Account Jordanian Green
4;Shores;brand Palladium copying;utilisation Small application;2023-09-07T05:33:45;2023-09-06T11:31:35;synthesizing;mesh black distributed
5;compress;area;Liechtenstein generating;2023-09-07T02:36:23;2023-09-06T21:33:56;Monaco sensor Toys;Small virtual
6;testing;redundant Awesome;Rial;2023-09-06T14:40:02;2023-09-07T09:09:57;syndicate Profit-focused;Koruna Borders lime
7;Greenland;Gourde;navigate Shores quantifying;2023-09-07T04:48:24;2023-09-07T01:48:12;Bacon;feed
8;encryption Customer visualize;Salad bandwidth;Zimbabwe Fundamental Car;2023-09-06T14:44:34;2023-09-06T17:03:43;York open-source Zimbabwe;infrastructure Account Interface
9;XSS Computers Rustic;Account;distributed Avon;2023-09-07T03:45:56;2023-09-07T02:28:11;Coordinator California;Awesome
10;driver Brand;Producer View National;Flats COM;2023-09-06T14:33:29;2023-09-07T06:07:08;Strategist parallelism Chips;Avon Colorado
